och;and
att formulera;to formulate (loan word)
en jämställdhet;an equality (especially gender equality)
en existens;an existence (loan word)
en bonde;a farmer
att bränna;1. to burn sth.- 2. to spend money recklessly (slang)
italiensk;Italian
en utgift;1. an expenditure- an expense- 2. (a) spending- 3. [mina inkomster och ~er] my income and expenditure
en förbättring;an improvement
att föreställa;1. to depict- 2. to play the part of- 3. [vad ska det ~?] what is it supposed to be?- 4. [att ~ sig] to imagine- 5. to introduce s.o.
en operation;an operation (loan word)
att landa;to land (loan word)
en service;1. a service- 2. [en ~lägenhet] a flat in a sheltered housing complex (loan word)
att låsa;1. to lock- 2. [att ~ upp] to unlock
att varna;to warn
att anställa;to employ (usually with a contract)
ett förtryck;an oppression
en varelse;a being- a creature
tyst;1. quiet- noiseless- 2. [~ överenskommelse] tacit agreement- tacit understanding
bredvid;1. beside- alongside- at the side of- 2. [prata ~ munnen] to give away a secret- to spill the beans
att syssla med;1. to have as an occupation- 2. to busy oneself with- 3. [vad ~r du med?] what is your job?
att drömma;to dream
ett evangelium;1. an evangelium- 2. a gospel- 3. [Lukas' ~] the Gospel according to St. Luke (loan word)
en planet;a planet (loan word)
organiserad;organized (loan word)
ett fält;1. a field- 2. [syn~] field of vision- 3. [flyg~] airfield- airport
att närma;to bring sth. closer- to bring sth. nearer
en vind;1. a wind- 2. an attic- 3. [sitta vid ~sfönstret] sit at the attic window
en gård;1. a farm- ranch- 2. a courtyard- a yard- 3. [bond~en] the farm- 3. [en bygde~] a (rural) community centre
en mitt;1. a center- a middle- 2. [i ~en av] in the middle of
framgångsrik;successful (in sense of career- prosperity etc.)
en identitet;1. an identity- 2. [~sbricka] identity disc- dog tag (loan word)
en sång;1. a song- 2. the act of singing- 3. birdsong- 4. [jul~] Christmas carol- 5. [national~] national anthem
att närma sig;to approach
att skrika;to shriek- to scream- to shout
en tidpunkt;a point in time
att avskaffa;to abolish- to get rid of sth.
ett samband;1. a connection- 2. a liaison- 3. [en ~sofficer] a liaison officer- 4. [ett ~sord] a linking word
lugn;calm- quiet- composed
att uppge;1. to give (e.g. your name)- 2. to state- to declare- to say
en deltagare;a participant
ett ursprung;1. an origin- 2. [~sbefolkning] indigenous population- aboriginal people- 3. [~sland] country of origin
bestämd;determined- definite- fixed
en insikt;an insight- an understanding- a knowledge
ett forum;a forum (loan word)
ett kort;1. a card (postcard- yellow/red card in sport)- 2. a photo- 3. [att ta ett ~] to take a photo
en statsminister;a prime minister (title used for the head of government in Nordic countries- amongst others)
annorlunda;other- different
att definiera;to define (loan word)
ett fönster;a window
en get;a goat
en omröstning;1. a voting (in parliament)- 2. a ballot- ballot voting
psykisk;1. mental- psychic- 2. [~ ohälsa] mental illness
ett fåtal;1. a small number- a few- 2. a minority (not a loan word)
öppet;openly
att överväga;1. to take into consideration- think about- contemplate- 2. to outweigh
ett stopp;1. a stop- 2. a blockage- 3. (a) stagnation
en tråd;1. a thread- yarn- cotton- wire- filament- fibre- 2. a discussion thread on social media
ett prov;1. a test- an examination (school- blood test)- 2. a trial- an experiment
ett sinne;1. a sense- a faculty- 2. [ett sjätte ~] a sixth sense- 3. (a) mind- a heart- 4. a disposition- a nature (the way someone is)
en sorg;1. a sorrow- 2. [jag beklagar ~en] I am sorry for your loss (condolence phrase)
ensamt;1. lonely- 2. alone- unaccompanied
gemensamt;1. in common- 2. [vi har inget ~] we have nothing in common
bort;away (when movement is involved)
kommersiell;commercial (loan word)
före detta;before that- former- ex-
sist;1. the last time- 2. [~ jag var där] when I was there last- 3. last- 4. [~ men inte minst] last but not least
i huvudsak;essentially
att lämpa sig;to be suited (to sth.)
annorlunda;other- different
att lura;to trick- to fool
förvisso;for sure- indeed
en övervakning;a surveillance
pågående;ongoing- pending
en utvärdering;1. an evaluation- 2. [inbördes ~] peer review
trygg;1. safe and secure- not in danger- 2. confident- assured
en video;a video (loan word)
med hänsyn till;1. with regard to- with respect to- 2. in light of- given- considering
att översätta;to translate
en fågel;a bird
att inkludera;to include- to comprise (loan word)
en era;an era (loan word)
rörande;1. concerning- 2. (as adj.) touching- moving
att förena;1. to unite- to bring together- to combine- 2. [att ~ sig med] to be compatible with- to join- to combine
ledig;1. vacant- free- unoccupied- 2. [hon är ~ i dag] she has the day off today
en kärnkraft;a nuclear power- an atomic energy
onödig;unnecessary
en ryss;a Russian
känslig;sensitive
en smak;a taste (food/fashion)
en order;1. a command (e.g. military)- 2. an order (in trade)
avancerad;advanced (loan word)
ett deltagande;a participation
en nämnd;an appointed committee- a board- a jury
absolut;absolute
en israel;an Israeli
att prioritera;to prioritize (loan word)
att tillägga;to add (something extra when speaking)
att blåsa;to blow
en trädgård;a garden
ett kors;1. a cross- 2. [att lägga armarna i  ~] to cross one's arms
därtill;to that- besides
en recension;1. a product review- 2. a write-up (loan word)
till;1. another (often used after a noun- with the meaning of "one more")- 2. [en sak ~] and another thing
en omsorg;1. a care- an attention- 2. [med ~] with care- carefully- 3. [att lägga ned stor ~ på något] to take great pains with something
ett kriterium;a criterion (loan word)
en fånge;a prisoner
extrem;extreme (loan word)
en förbindelse;1. a connection (real or abstract- between two points- things or people- commonly used in connection with means of transport)- 2. [en tåg~] a train connection
ett angrepp;1. an attack (in the sense of an aggressive move against a person- a plant- or something abstract)- 2. [~ på friheten] attack against freedom- 3. [~ av skadeinsekter] attack by harmful insects
att lansera;to launch- to introduce
en saga;1. a fairy tale- 2. a saga- 3. a myth
att basera;to base (loan word)
en cykel;1. a bicycle- a bike- 2. a menstrual cycle- a period
en design;a design (loan word from English)
frivillig;voluntary
med anledning av;1. on account of- owing to- in view of- 2. [~ detta] in this connection- that being so- therefore (not: "på grund av")
västra;western (point of the compass)
en påverkan;1. an impact- an influence- 2. [under ~ av alkohol] under the influence of alcohol- 3. [miljö~] environmental impact
en verkan;1. an effect- a result- 2. a consequence- 3. an influence- 4. an effectiveness- 5. an impression- 6. [med omedelbar ~] with immediate effect
ful;ugly
en kongress;a congress (loan word)
att skära;1. to cut- 2. [det ~ i öronen på mig] it grates on my ears
ett testamente;a testament- a will (loan word)
gul;yellow
skriftlig;written- in writing
en våg;1. a wave- a surge- 2. a pair of scales- a weighing machine- 3. a Libra (astrology)
årlig;annual
en reservation;a reservation (NOT as in a restaurant reservation)
rättvis;fair- just- equitable
ett yrke;a profession
ett århundrade;a century- a hundred years
ett anslag;1. a notice- a poster- 2. a grant- a subsidy- an allowance- 3. a keystroke- 4. an impact- 5. a plot- a conspiracy
en drog;a drug
att gömma;to hide
äkta;1. authentic- genuine- not fake- 2. [~ makar] a married couple- 3. [~ barn] legitimate child- a child born in wedlock
intellektuell;1. intellectual- 2. [~ funktionsnedsättning] mentally handicapped (loan word)
en kejsare;an emperor
en planering;a planning (loan word)
en släkt;1. family- 2. all one's relatives- 3. kinship- 4. [att vara ~ med] to be related to
en drottning;a queen
att uppträda;1. to appear (on TV- on stage- etc)- to perform- 2. to behave- to behave oneself- 3. to occur
att övergå;1. to change into- 2. to pass over to- 3. to pass into
het;hot
ett läkemedel;a pharmaceutical product- a medicine
en utformning;1. a shaping- a design- a designing- 2. a formulation- 3. a wording
elektronisk;electronic (loan word)
obligatorisk;obligatory (loan word)
att investera;to invest (loan word)
en fond;1. a background (e.g. in a painting)- 2. capital- funds- 3. a foundation (loan word from French)
dubbel;1. double- 2. [~t medborgarskap] dual citizenship
att uppkomma;to come up- to arise
att somna;to fall asleep
ett ställningstagande;a position one takes on an issue
att utesluta;to exclude- to eliminate
en frukost;1. a breakfast- 2. [en kraftig ~] a substantial breakfast
en förhoppning;1. a hope- 2. [i ~ om att] in the hope that
facklig;1. professional- technical- 2. relating to a trade union
en prognos;1. a prognosis- 2. [väder~] weather forecast
en sannolikhet;1. a probability- 2. [med största ~] in all probability
en advokat;a lawyer
kapitalistisk;capitalist (loan word)
tveksam;doubtful
att anlända;to arrive
ett regn;1. a rain- 2. [det blir ~ i morgon- inte i dag] it's going to rain tomorrow- not today
att röja;1. to clear (up- out- away)- 2. to remove- 3. to reveal- disclose
en motsats;1. an opposite- 2. a contrast
en referens;a reference (e.g. when applying for a job) (loan word)
en fabrik;a factory
i och för sig;in and of itself (certainly- surely)
japansk;Japanese
plus;plus
en marknadsföring;a marketing
att rena;1. to clean- 2. to purify- 3. to disinfect
en innebörd;a significance- an implication
att stjäla;to steal
online;online
en omgång;1. a set- a batch- a change (e.g. of clothes)- 2. a helping- a portion- 3. a round (of drinks- of cards)- a turn- a relay (sport)- an instalment- 4. a beating- a thrashing- 5. bureaucracy- red tape
att protestera;to protest (loan word)
att tillkomma;to take place- to occur
att bemöta;to respond to- tackle- address (e.g. a threat)- to treat (an illness)
att tränga;to push- to shove- jostle
bestående;lasting- permanent
en blomma;a flower
att överföra;to transfer
en solidaritet;a solidarity (loan word)
en lydelse;a wording
en annons;1. an advertisement (e.g. a small ad in a newspaper)- 2. an announcement- a notice- 3. [~byrå] advertising agency
en riksdagsledamot;a member of (the Swedish) parliament (only used with countries that have a monarchy)
att brinna;1. to be on fire- to burn (literal meaning)- 2. to be passionate about sth.- 3. to decompose
att rinna;1. to run- to flow- 2. [näsan ~er] (one's) nose is running
en gärning;1. a deed- an achievement- 2. [~smannen] the perpetrator (of a crime)
en samverkan;1. a co-operation- a co-ordination- 2. [i nära ~ med] in close co-operation with- 3. [en grann~] a neighbourhood watch
att rymma;1- to run away- to escape- 2. to hold- contain- have space for
ett blogginlägg;a blog post- a blog entry
att sammanfatta;to summarize
östra;eastern
att dröja;to take (a long) time- to hesitate
att avbryta;to interrupt- to break in
att gräva;to dig- to excavate
att stryka;1. to remove- to delete- 2. to iron (clothes)- 3. to stroke sth.
att förtjäna;to deserve- to earn (mostly used in a figurative sense)
hur som helst;anyway- anyhow
en norm;a norm (loan word)
osäker;unsure- doubtful
en räkning;1. a bill- a check- an invoice- 2. an account- 3. arithmetic- counting- 4. a calculation
en republik;a republic (loan word)
ett rykte;1. a rumor- 2. a reputation
en jämförelse;a comparison
att avstå;to abstain- to relinquish
en ära;an honour- a credit (as in praise)- a glory (less common- Biblical)
en länsstyrelse;a county administrative board
smart;smart (loan word)
ett bibliotek;a library (loan word from French)
en diktatur;a dictatorship (loan word)
att variera;to vary (loan word)
att dominera;to dominate (loan word)
att utreda;to investigate- to analyze
ett boende;1. an accommodation- housing- 2. [ett äldre~] an old people's home- residential care for the elderly- 3. [en ~] a resident
ett museum;a museum (loan word)
att förvandla;to transform- to reshape
att påbörja;to begin- to enter (often used in passive form)
en ursäkt;1. an excuse- 2. an apology- 3. a pretext- 3. [jag ber om ~] I apologise- I'm sorry- excuse me
ett vete;a wheat
att organisera;to organize (loan word)
kommunistisk;communist (loan word)
en hamn;1. a port- harbour- docks- 2. a haven (figurative)
att tillhandahålla;to supply (not: "att leverera")
att informera;to inform (loan word)
en karta;a map
att utforma;1. to shape- to design- to form- 2. to draw up- to formulate
en konvention;1. a convention- a habit- 2. an agreement- 3. [Genève~erna] the Geneva Conventions (loan word)
allt mer;more and more- increasingly (not: "mer och mer")
en koll;1. a check- 2. [att ha noll ~ på något] to have no clue about something
en längd;a length
medicinsk;medical (loan word)
en läggning;1. a disposition- 2. an orientation- 3. a (sexual) preference
ett kilogram;a kilogram (loan word)
en finansiering;a financing (loan word)
ett löfte;1. a promise- 2. [att hålla sitt ~] to keep one's promise
att mörda;to murder- to assassinate
anställd;employed- under contract
en amerikan;an American (loan word)
en rit;a rite (loan word)
en status;a status (loan word)
biologisk;biological (loan word)
en dikt;1. a poem- 2. a made-up thing- a story- a fiction- 3. [~ och verklighet] fact and fiction
en sko;a shoe
att sträcka;to stretch
en medarbetare;a co-worker (not a loan word)
en lust;1. an inclination- a liking- 2. [jag har ingen ~] I don't feel like it
kreativ;creative (loan word)
till dess;1. till then- until then- 2. by then- by that time
intensiv;intensive (loan word)
sålunda;1. thus- 2. [~ talade Zarathustra] "Thus spoke Zarathustra"- a book by Friedrich Nietzsche
att roa;to amuse
att understryka;to underline
ett glas;a glass
ett album;an album (loan word)
ett territorium;a territory (loan word)
att möjliggöra;to make possible- to enable
en fördelning;1. a distribution- 2. an allocation- 3. a division
en folkomröstning;a referendum (not a loan word)
ett skede;a period- a stage (not a loan word)
att markera;to mark (loan word)
att skaka;to shake
en sten;a stone
en vagn;1. a wagon- a carriage- 2. [barn~] a pram- a baby carriage- a stroller
att värna;1. [att ~ om] to defend- protect- safeguard (e.g. one's reputation)
hemsk;ghastly- frightful- terrible (not: "fruktansvärd)
kriminell;criminal (loan word)
saklig;1. objective- factual- concrete- 2. unbiased- neutral- dispassionate- unemotional- 3. matter-of-fact (not a loan word)
närvarande;1. present- in attendance- at- 2. [~ vid mötet] present at the meeting
automatiskt;automatically (loan word)
att skämma;1. [att ~ bort någon] to spoil someone (e.g. children)- to pamper someone (e.g. a partner)- 2. [att ~ ut någon] to disgrace someone- 3. [att ~ ut sig] to disgrace oneself
att vittna;1. to testify- to give evidence in court (as a witness)- 2. to witness sth.
att spendera;to spend (loan word)
att ansvara;to be responsible- to take responsibility- to be in charge
ett ledarskap;a leadership
att trivas;to feel at home- to be comfortable- to thrive
en figur;a figure (loan word)
en bygd;1. a region- a district- 2. a village- 3. [en ~egård] a community centre
en spridning;a spread
lyckad;successful (in the sense of sth. going well- e.g. an event of some kind)
att le;to smile
en betalning;a payment
att oroa;1. to worry- to bother- to disturb- 2. [att ~ sig för något] to worry about sth.- 3. [inget att ~ sig för] nothing to worry about
ett lov;1. a leave- a holiday- 2. a leave- a permission'- 3. a praise-  [sommar~- bygg~- Gud ske ~]
motsatt;1. opposite (in figurative sense- not a preposition of place)- 2. [det ~a könet] the opposite sex
att knyta;to knot- to tie
från och med nu;from now on- henceforth
en rekommendation;a recommendation (loan word)
en ansträngning;an effort
ett institut;an institute (loan word)
en kritiker;a critic (loan word)
övre;upper
moderat;1. moderately conservative- 2. referring to the political party- "~a Samlingspartiet" (loan word)
data;data (loan word)
ett hörn;a corner
inhemsk;1. domestic- home- native- indigenous- 2. inland- internal
en öl;a beer
en ängel;an angel
blott;1. only- merely (formal)- 2. [det är ett minne ~] it is but a memory- 3. [~ och bart] purely and simply
att förhålla sig;1. to behave- to conduct oneself- 2. to relate to (math.)
fullkomligt;1. completely- 2. [jag inser ~ att] I fully realize that- I am fully aware that
en park;1. a park- 2. [lek~] children's outdoor playground (loan word)
ett regelverk;a set of rules and regulations
en nackdel;a disadvantage
ett vittne;a witness
ljus;light-coloured- pale- fair
medvetet;knowingly- deliberately
en gas;1. a gas (not as in petroleum)- 2. (loan word)
att tipsa;to tip off (loan word)
en våldtäkt;a rape
att boka;1. to book- 2. [att ~ tid hos någon] to make an appointment with someone
sådan här;like this
ekologisk;ecological (loan word)
att återfinna;1. to find again- to retrieve- 2. to recover
huvudsakligen;mainly
att överge;to abandon
en ockupation;1. an occupation (of territory- in war- or of a house- as in squatting)- 2. [USA:s olagliga ~ av Irak] the USA’s illegal occupation of Iraq (loan word)
likaså;likewise
att bringa;1. to bring (usually used metaphorically)- 2. [att ~ ordning i något] to put in order- to put right
att hylla;to praise- to celebrate- to hail
en sammanfattning;a summary
en liberal;a liberal (loan word)
en signal;1. a signal- 2. a ring- a ringing (of a telephone)- 3. [att slå en ~ till någon] to call someone- to give someone a ring (loan word)
ett guld;a gold
homosexuell;homosexual (loan word)
en brottslighet;1. (a) crime (also in general sense) 2. [organiserad ~] organised crime
rejäl;1. proper- substantial- solid- 2. genuine
en rättegång;a trial- (a) court proceedings
ett mått;1. a unit of measurement- 2. a measure- an action- 3. [av stora ~] of grand proportions- on a wide scale- extensively
en kammare;1. a chamber- a small room- 2. (political body) house- chamber- 3. [en~system] unicameral system- single-chamber system
en nazist;a nazi
att förefalla;1. to appear- to seem- 2. [det ~er mig] it seems to me- it appears to me
efteråt;afterwards
en försäkring;1. an insurance- 2. [att teckna en ~] to take out insurance
en konung;a king (not: en kung")
så klart;1. of course- 2. [~ jag gör] of course I do
ett ändamål;1. a purpose- an objective- 2. [välgörande ~] charitable cause- a charity- 3. [ett gott ~] a good cause
avsedd;meant- intended
generell;general (loan word)
en kommunism;a communism (loan word)
att dölja;to conceal- hide
en arab;an Arab
att sträva;to strive
en stämning;1. an atmosphere- a mood- a spirit- 2. [jul ~] Christmas spirit- 3. a tune
ett torg;1. a market place- a market- 2. a square- 3. [att gå på ~et] to go to the market (to buy groceries)
planerad;planned (loan word)
en utrustning;(an) equipment
då och då;from time to time
att ryka;1. to smoke- to give off smoke- 2. to reek- 3. to steam- to be piping hot
en reglering;a regulation (loan word)
misstänkt;suspected
ett paket;1. a package- parcel- packet- 2. [ett ~ mjölk] a carton of milk
att bete sig;to behave (oneself)
kollektiv;collective (loan word)
en fotograf;a photographer (loan word)
vänlig;1. kind- 2. friendly- 3. obliging
en hemlighet;a secret- a privacy
administrativ;administrative (loan word)
att dansa;to dance
ett tillägg;an addition
ett fordon;a vehicle
att nöja sig;to be content- satisfied- happy
att kliva;1. to take a step into or out of somewhere- 2. to step- to tread (on something)
en bro;a bridge
ett mandat;a mandate (loan word)
en inledning;1. an introduction- beginning- foreword (to a book etc)
ett införande;1. an introduction- 2. an entry- an insertion- 3. an initiation- a familiarisation
att antyda;to hint- to suggest
att innefatta;1. to include- 2. to consist of
att kommunicera;to communicate (loan word)
praktiskt;practically (loan word)
en förmån;1. an advantage- a benefit- 2. a privilege
nyfiken;1. curious- 2. [~ på något] curious about something
en kombination;a combination (loan word)
ett mod;1. a courage- 2. [~et svek mig] my courage deserted me
ett landskap;1. a landscape- scenery (e.g. in a painting or in nature)- 2. a province
att överlämna;1. to hand over- to deliver- 2. [att ~ sig till/åt något] to surrender oneself to something
en vinnare;a winner
oskyldig;innocent
att fastna;to get stuck
en förväntning;an expectation
en temperatur;a temperature (loan word)
övergripande;all-embracing- overall- comprehensive
att motverka;to obstruct- to counteract
våldsam;violent- fierce- heavy
ett fack;1. a compartment- a pigeonhole- a post-office box- 2. a branch- a trade- a profession- a field of work- 3. a subject (in education)
att komplettera;to complement
ett protokoll;1. (a) minutes- a record (e.g. of an official meeting)- 2. a protocol- 3. (sports) a score- 4. [utom ~et] off the record
webben;the internet- the World Wide Web
att bota;to cure
ett förlag;a publishing house- a publisher
att bege sig;to set out- to proceed- to depart
en konsumtion;a consumption (loan word)
värdefull;valuable- useful
en kost;1. a diet- food- 2. [~ och logi] board and lodging
godkänd;1. passed (e.g. in an end-of-year school report- driving test etc.)- 2. approved
ett datum;a date (e.g. a date of birth etc- not an appointment)
en motivering;1. a motivation- a reason- a justification- a rationale- 2. an explanation- an explanatory statement (loan word)
en tystnad;a silence
en valuta;a currency
att genomgå;to go through
en nåd;1. a mercy- a grace- a favour- 2. [på ~er] on sufferance- 3. [att leva på ~er hos någon] to live on s.o.'s charity
en redaktion;an editorial staff
extern;external (loan word)
en sfär;a sphere (loan word)
ett flygplan;an airplane
en kamrat;1. a comrade- 2. [mina klass~er] my classmates- 3. [dina arbets~er] your workmates- your colleagues
en premiärminister;a prime minister (used for heads of government outside the Nordic countries)
en botten;1. a bottom- 2. a ground- 3. a soil- 4. [den låg på havets ~] it lay at the bottom of the sea
västerländsk;western (political term referring to the industrialised countries of the world)
en skala;a scale (loan word)
en utsikt;1. a view (of scenery)- 2. an outlook- a prospect- a chance
att besegra;to defeat
att utfärda;to issue
att stimulera;to stimulate (loan word)
kraftfull;energetic- strong- emphatic
att utöka;to enlarge- to increase- to expand
att angripa;1. to attack- to assault- 2. to affect- to be affected by- 3. to tackle (e.g. a problem)
ett utseende;an appearance (how s.o. or sth. looks)
en promenad;1. a walk- 2. [att ta en ~] to go for a walk
ett universum;a universe (loan word)
vanligtvis;usually (ends with "-vis")
en osäkerhet;an uncertainty
enstaka;occasional
ett flyg;1. a flight- 2. flying- aviation- 3. [med ~] by plane- by air
en vana;1. a habit- a custom- 2. experience- practice- 3. [kassa~] experience as a cashier- experience using a cashtill
en spänning;1. a tension- excitement- suspense- 2. voltage- tension (electricity)- 3. strain- stress (technical term)
ett anfall;1. a fit- a bout (of hysterics- gout etc.)- 2. an attack- an assault- 3. [~ är bästa försvar] attack is the best defence
att utarbeta;1. to draw up- to prepare- to compose (a document)- 2. to work out (a plan)
att skrämma;to scare
en nyckel;a key
en skribent;a writer
en garanti;a guarantee- a warranty (loan word)
sakta;slowly- gently
att tillsätta;1. to appoint s.o. to a position- 2. to set up (a committe)- 3. to add (sth. to sth.- while cooking)
en tvekan;1. a doubt- 2. a hesitation- 3. an uncertainty
en tand;1. a tooth- 2. [~ställning] braces
att yrka;1. to demand sth.- 2. to insist on sth.- 3. to claim for sth.- 4. [att ~ på ersättning] to claim compensation
tacksam;grateful- thankful
att tävla;to compete (usually used for sporting competitions)
bortom;beyond
att utbilda;1. to train- to educate- 2. [att ~ sig för läkaryrket] to get a qualification as a medical doctor
ett hemland;a homeland- native country- home country
utav;out of
att avvisa;to reject- to turn away- to turn down
potentiell;potential (loan word)
sovjetisk;soviet
att avgå;1. to resign- 2. to depart
en grav;a grave
en agenda;an agenda (loan word)
ett samfund;1. a society- 2. a group of countries or people with the same world view or goals- a community- a fellowship- a congregation- 3. an organisation (often non-profit or religious)
en krets;1. a circle- 2. a circuit- 3. [en ström~] an electric circuit- 3. [en bekantskaps~] a circle of friends- a group of friends
kunglig;royal
en anmälan;1. a registration- a sign-up (to take part in sth.)- 2. a report (to the police or similar authority)- 3. an announcement
att inneha;1. to hold- be in possession of- have- to possess (e.g. illegal drugs)- 2. to occupy
en soffa;a sofa (loan word)
en stabilitet;a stability (loan word)
ett förnuft;1. a reason- a common sense- 2. [sunt ~] common sense
därav;thereof- thereby
en tredjedel;a third (33.33% of sth.)
ovanstående;1. above (on a piece of paper)- 2. [han kan nås under ~ adress] he can be reached at the above address
trovärdig;trustworthy- credible- reliable
att strunta;to not bother about
akademisk;academic (loan word)
permanent;permanent (loan word)
nyttig;1. useful- 2. healthy- wholesome- good for you
en invändning;an objection (when you have an argument against sth.)
en våning;a floor (a level in a building)- a flat or apartment
långsamt;slowly
vild;wild- fierce- savage
en propaganda;a propaganda (loan word)
troende;believing
ett skepp;(in Sweden) a water vessel which is at least 12m long and 4m wide
en utgång;1. an exit- a way out- 2. an expiration- 3. [en ~sdatum] an expiry date (food- credit card)- 4. a result- an outcome
skrämmande;frightening
omedelbar;1. direct- immediate- 2. [med ~ verkan] with immediate effect
en partner;a partner (loan word)
rejält;reliable- big- strong
en kapacitet;a capacity (loan word)
ett genomsnitt;an average
värdig;1. worthy- 2. dignified
ett gymnasium;a high school- now called "gymnasieskola"
att umgås;to socialise with- to hang out with
ett knä;1. a knee- 2. a lap- 3. [att ha ett barn i ~t ] to have a child sitting on your lap
ett element;1. a radiator- 2. an element (loan word)
fredlig;1. peaceful- without violence or conflict- 2. [en ~ lösning på konflikten] a peaceful solution to the conflict
smal;slim- thin- narrow in size
en gubbe;1. an old man- 2. [att gå mot röd ~] to cross at the red man
att arrangera;to arrange- to set up (loan word)
en skugga;a shadow
att pressa;to press (loan word)
en självständighet;1. (an) independence- 2. the ability to do things by yourself
densamma;the same
slutlig;1. ultimate- final- 2. [~ skatt] final tax
ett tvivel;1. a doubt- [bortom varje rimligt ~] beyond all reasonable doubt
att fälla;1. to knock down- to fell- 2. to shed- to moult- 3. to convict- 4. [att ~ en dom] to pass a sentence- to pass judgement
att smaka;to taste
ett exemplar;1. a specimen- 2. (of a document) a copy (loan word)
en resolution;a resolution (loan word)
ekonomiskt;economically (loan word)
därpå;subsequently- next- thereupon
en formulering;a formulation (loan word)
ihjäl;particle used with verbs- e.g. to X (oneself- others) to death
såväl som;as well as
att instämma;1. to agree (with s.o.)
ett halvår;a half-year- a period of six months
att debattera;to debate (loan word)
en idiot;an idiot (loan word)
yttersta;farthest- outermost- extreme
intill;beside- next to
torr;dry
söt;sweet- cute
en socialist;a socialist (loan word)
att anordna;to arrange (not a loan word)
besviken;disappointed
en lektion;1. a lesson- a class (school)- 2. [~en faller bort] the lesson is cancelled- 3. [sång~] singing lesson
ledsen;sad
grattis;1. congratulations- 2. [~ på födelsedagen] happy birthday
sistnämnd;the latter (the one last mentioned)
tragisk;tragic (loan word)
en teater;a theatre (loan word)
att försäkra;1. to assure- 2. to insure- 3. to make sure- to insure oneself
att observera;to observe (loan word)
att intressera;to interest (loan word)
uppåt;upward
en fas;a phase (loan word)
ett dop;a baptism
professionell;professional (loan word)
att klippa;1. to cut- 2. [att ~ sig] to get/have one's hair cut- 3. [att ~ gräsmattan] to mow the lawn- to cut the grass
trist;dismal- miserable
ombord;on board- being on a ship
att sparka;1. to kick- 2. to fire s.o. from their job
en klimatförändring;a climate change
att undervisa;1. to teach sth. [han ~r i engelska] he teaches English
dåvarande;then- former
en varning;1. a warning- 2. [~ för hunden] beware of the dog
ett ton;a metric ton (loan word)
tänkbar;imaginable- conceivable
villig;willing
en station;a station- e.g. railway- bus- radio etc. (loan word)
en släkting;a relative- a member of one's extended family
övrig;other- remaining- (the) rest
giltig;valid
gudomlig;divine
objektiv;objective (loan word)
en brand;1. a fire- 2. [skogs~] forest fire
meningslös;meaningless- pointless
en pensionär;a pensioner (loan word)
redo;ready- prepared
en järnväg;a railway
jämn;1. even- level- smooth- 2. regular- constant- 3. even (maths)- rounded up- 4. [ha ~a pengar] to have the exact amount- the right change
ett utbyte;1. an exchange- a replacement- 2. profits- proceeds- 3. a result- an outcome- 4. a benefit
en öppenhet;an openness
en grundval;1. a foundation- a basis (in metaphorical sense)- 2. [skakas i sina ~ar] shaken to its foundations- 3. [på ~ av] on the basis of
att attackera;to attack- to pester- to molest (loan word)
att slita;1. to wear out- 2. to tear- to pull- to sever- to break- 3. to work hard
en förskola;a preschool
föregående;previous (the one that went before)
att föreskriva;to prescribe- to dictate
en inspiration;an inspiration (loan word)
en anhängare;1. a believer- an adherent- 2. an advocate- 3. a supporter- a follower- a fan
att hyra;to hire
en kärna;1. a core- an essence- the central part of sth.- 2. a seed- a pip- a stone- a kernel (of fruit)- 3. a (butter) churn
överhuvudtaget;1. on the whole- at all- 2. [om han ~ kommer ] if he comes at all
att löpa;1. to run (also competitively)- 2. to move- to go- to travel- 3. to be on heat (animals)
ett blad;1. a leaf- a petal- 2. a sheet (of paper)- a newspaper- 3. a blade (of knife)
en gårdag;1. a yesterday- 2. the previous day- the day before
att tillföra;1. to take or bring (sth.) (to somewhere)- 2. to provide s.b. or sth. with something (that is needed)- 3. to contribute sth. (useful)
en trovärdighet;a credibility
ett varv;a lap- a round
en värdighet;a dignity
en dans;a dance
ett arv;1. an inheritance- a bequest- 2. a heritage- a legacy
ett seminarium;a seminar (loan word)
att besvara;1. to answer- to respond to- to reply to- 2. to return- to reciprocate- 3. [att ~ elden] to return fire
ett övergrepp;1. an assault- an abuse- 2. [sexuellt ~] sexual abuse- sexual assault- 3. a (military) attack
ett pass;a passport
att ljuga;to lie- to tell an untruth
en uppdatering;an update (loan word)
grekisk;Greek
en närvaro;1. a presence- 2. [sinnes~] presence of mind- 3. an attendance- e.g. in a class- course etc.
en tidskrift;a magazine (not a loan word)
en infrastruktur;an infrastructure (loan word)
en biskop;a bishop
ett läger;a camp
mer och mer;more and more
en adress;an address (loan word)
efterhand;gradually (not "gradvis")
förvånad;astonished- extremely surprised
ovanlig;unusual
jävla;damn
ett kontrakt;a contract (loan word)
skild;1. separated- divorced- 2. different- separate
daglig;daily
en penningpolitik;a monetary policy
en röstning;1. a voting- 2. (in a general election) polling
lugnt;1. calmly- 2. [det är ~] it's OK- you don't need to bother- 3. [ta det ~] take it easy- be patient
stackars;1. poor (used to express sympathy)- 2. [~ liten!] you poor little thing!
en sänkning;a lowering
en potential;a potential (loan word)
ett antagande;an assumption
att tilldela;to assign- to allocate
en biljett;a ticket (loan word from French)
att motsätta sig;to oppose something (sth.)- to be against sth.- to object to sth.
